,content,Content_ID,Embedding,Deviation,Norm_Dev
14,Expand your horizons and learn a new language! It's a great way to connect with people from different cultures and improve your cognitive abilities. Who knows where it might take you?,14,[-0.007  0.001  0.045 ... -0.022  0.012 -0.043],[-0.005  0.002  0.024 ... -0.017  0.009 -0.01 ],[-0.092  0.053  0.502 ... -0.329  0.193 -0.189]
15,"Take a break from your screen and focus on your breath. Meditating can reduce stress, improve focus, and promote overall well-being. Find a quiet spot and give it a try!",15,[-0.019 -0.002  0.031 ... -0.005  0.008 -0.023],[-0.017 -0.001  0.011 ... -0.001  0.005  0.01 ],[-0.326 -0.007  0.23  ... -0.004  0.114  0.216]
16,Put down your phone and challenge your mind with a game of chess. It's a great way to improve your critical thinking skills and have fun at the same time. Who will be the ultimate winner?,16,[-0.005  0.001  0.024 ...  0.     0.002 -0.048],[-0.003  0.002  0.003 ...  0.005 -0.002 -0.015],[-0.041  0.067  0.08  ...  0.109 -0.018 -0.283]
17,Put your phone down and pick up a Rubik's cube! It's a challenging puzzle game that can improve your problem-solving skills and hand-eye coordination. See how quickly you can solve it!,17,[-0.013  0.008  0.025 ...  0.005 -0.005 -0.04 ],[-0.011  0.009  0.004 ...  0.009 -0.009 -0.007],[-0.201  0.195  0.106 ...  0.203 -0.159 -0.119]
18,"Take a break from your screen and listen to some music. It can improve your mood, reduce stress, and enhance your creativity. Who knows what kind of inspiration you might find?",18,[ 0.001 -0.011  0.02  ... -0.01   0.002 -0.016],[ 0.003 -0.01   0.    ... -0.005 -0.001  0.017],[ 0.071 -0.189  0.019 ... -0.092 -0.011  0.355]
19,"Put down your phone and play a game of solitaire. It's a classic card game that can improve your problem-solving skills and help you pass the time. Plus, you can play it anywhere!",19,[-0.014  0.012  0.031 ... -0.005  0.001 -0.034],[-0.012  0.013  0.01  ... -0.    -0.003 -0.002],[-0.223  0.285  0.22  ...  0.009 -0.039 -0.013]
20,Take a break from your screen and let your creativity flow with coloring! Grab some colored pencils and let the stress melt away as you fill in intricate designs with vibrant colors.,20,[ 0.004  0.005  0.021 ... -0.005  0.001 -0.024],[ 0.006  0.006  0.    ... -0.    -0.003  0.009],[ 0.13   0.133  0.025 ...  0.01  -0.039  0.193]
21,Put down your phone and pick up a pencil! Drawing is a versatile and rewarding hobby that allows you to create anything you can imagine. Let your creativity soar and see what you can create.,21,[-0.024  0.001  0.02  ...  0.017  0.008 -0.035],[-0.022  0.002 -0.001 ...  0.021  0.005 -0.002],[-0.42   0.061 -0.001 ...  0.445  0.111 -0.029]
22,"Step away from the screen and start preserving your memories in a fun and meaningful way with scrapbooking. Gather your photos, embellishments, and journaling supplies and let your creativity shine.",22,[-0.005  0.001  0.028 ... -0.004 -0.004 -0.046],[-0.003  0.002  0.008 ...  0.    -0.007 -0.013],[-0.038  0.052  0.169 ...  0.024 -0.125 -0.244]
23,Take a break from scrolling and start writing! Creative writing is a form of self-expression that allows you to explore your imagination and tell stories through words. Let your creativity flow and see where your writing takes you.,23,[-0.007  0.001 -0.005 ...  0.006  0.004 -0.047],[-0.005  0.002 -0.025 ...  0.01   0.001 -0.014],[-0.081  0.067 -0.486 ...  0.221  0.034 -0.272]
24,Put down your phone and sing your heart out! Singing is a fun and uplifting activity that allows you to express yourself through music and connect with others. Let your voice soar and feel the joy it brings.,24,[-0.009 -0.023  0.03  ... -0.023  0.006 -0.028],[-0.007 -0.022  0.01  ... -0.019  0.002  0.005],[-0.126 -0.416  0.215 ... -0.365  0.059  0.117]
25,Step away from the screen and pick up a pen or brush! Calligraphy is a beautiful and elegant art form that involves creating decorative lettering. Let your creativity flow and see what stunning works of art you can create.,25,[-0.005  0.002  0.007 ...  0.002  0.013 -0.057],[-0.003  0.003 -0.014 ...  0.007  0.009 -0.024],[-0.051  0.085 -0.262 ...  0.152  0.198 -0.47 ]
26,Take a break from your screen and start stitching! Embroidery is a relaxing and rewarding hobby that involves stitching intricate designs onto fabric. Let your creativity shine and create something beautiful and unique.,26,[-0.028 -0.006  0.011 ... -0.001  0.019 -0.025],[-0.026 -0.005 -0.01  ...  0.004  0.015  0.008],[-0.502 -0.081 -0.176 ...  0.09   0.327  0.17 ]
27,Put down your phone and start molding! Sculpting is a fascinating and challenging art form that involves shaping materials into three-dimensional works of art. Let your creativity soar and see what you can create.,27,[-0.015  0.017  0.019 ...  0.025 -0.007 -0.032],[-0.013  0.018 -0.002 ...  0.029 -0.011  0.001],[-0.243  0.377 -0.016 ...  0.598 -0.205  0.033]
28,Step away from the screen and start capturing the beauty around you! Photography is a fun and creative hobby that allows you to preserve special moments and scenes. Let your creativity shine and see what stunning photos you can take.,28,[ 0.006 -0.     0.023 ...  0.01   0.002 -0.027],[ 0.008  0.001  0.002 ...  0.015 -0.002  0.006],[ 0.185  0.036  0.061 ...  0.31  -0.017  0.138]
29,Take a break from scrolling and start writing your own music! Songwriting is a powerful and rewarding activity that allows you to express your emotions and tell stories through music and lyrics. Let your creativity flow and see what beautiful music you can create.,29,[-0.005 -0.01   0.017 ... -0.007  0.014 -0.049],[-0.003 -0.009 -0.003 ... -0.002  0.011 -0.016],[-0.035 -0.169 -0.048 ... -0.03   0.236 -0.306]
30,"Put down the phone and pick up a sponge! Cleaning can be a satisfying way to destress and create a comfortable living space. Plus, you'll feel accomplished when you're done!",30,[ 0.011  0.023  0.028 ...  0.001  0.009 -0.026],[0.013 0.024 0.008 ... 0.005 0.005 0.007],[0.273 0.497 0.171 ... 0.127 0.124 0.157]
31,"Step away from the screen and into the kitchen! Cooking is a fun and creative way to experiment with different flavors and ingredients. Plus, you'll save money and eat healthier by preparing your own meals.",31,[ 0.019 -0.007 -0.002 ...  0.003  0.001 -0.032],[ 0.021 -0.006 -0.022 ...  0.008 -0.003  0.001],[ 0.445 -0.104 -0.429 ...  0.171 -0.041  0.03 ]
32,"Take a break from the screen and pick up some needles! Knitting is a relaxing and meditative craft that can help you unwind and create unique gifts for loved ones. Plus, you'll feel accomplished when you finish a project!",32,[-0.014 -0.005  0.016 ... -0.     0.014 -0.035],[-0.012 -0.004 -0.004 ...  0.004  0.01  -0.002],[-0.222 -0.063 -0.068 ...  0.099  0.228 -0.031]
33,"Put down the phone and pick up a needle! Sewing is a versatile skill that can help you express your creativity and save money on alterations and repairs. Plus, you'll feel proud when you wear or use something you've made yourself!",33,[-0.021  0.002  0.019 ...  0.005  0.013 -0.021],[-0.019  0.003 -0.001 ...  0.009  0.01   0.012],[-0.355  0.075 -0.002 ...  0.205  0.214  0.264]
34,"Step away from the screen and into the garden! Gardening is a rewarding way to connect with nature, improve your mental health, and grow your own food. Plus, you'll have a beautiful outdoor space to enjoy!",34,[ 0.023 -0.006  0.012 ... -0.006 -0.006 -0.025],[ 0.025 -0.005 -0.008 ... -0.002 -0.009  0.008],[ 0.526 -0.086 -0.148 ... -0.023 -0.171  0.177]
35,"Put down the phone and pick up some tools! Woodworking is a hands-on craft that can help you express your creativity and develop practical skills. Plus, you'll have beautiful and functional pieces to use or give as gifts!",35,[-0.01  -0.002  0.014 ...  0.005  0.012 -0.028],[-0.008 -0.001 -0.007 ...  0.009  0.008  0.005],[-0.136 -0.009 -0.114 ...  0.201  0.181  0.116]
36,"Step away from the screen and into the kitchen! Baking is a fun and rewarding way to experiment with different flavors and techniques. Plus, you'll impress your friends and family with your delicious treats!",36,[ 0.013 -0.002  0.016 ...  0.004 -0.006 -0.032],[ 0.015 -0.001 -0.004 ...  0.009 -0.01   0.001],[ 0.323 -0.001 -0.067 ...  0.193 -0.178  0.035]
37,"Put down the phone and pick up some decor! Home decorating is a fun and creative way to express yourself and transform your living space into a cozy and inviting sanctuary. Plus, you'll feel proud of your beautiful and personalized home!",37,[ 0.002  0.005  0.022 ... -0.001  0.012 -0.031],[0.004 0.006 0.001 ... 0.003 0.008 0.002],[0.105 0.136 0.044 ... 0.081 0.178 0.055]
38,"Step away from the screen and into the great outdoors! Landscaping is a rewarding way to connect with nature, improve your physical health, and create beautiful and functional outdoor spaces. Plus, you'll have a peaceful and relaxing outdoor oasis to enjoy!",38,[ 0.028  0.011  0.017 ... -0.011  0.005 -0.035],[ 0.03   0.012 -0.004 ... -0.006  0.001 -0.002],[ 0.618  0.261 -0.058 ... -0.112  0.047 -0.024]
39,"Put down the phone and pick up a trash bag! Decluttering is a satisfying way to simplify your life and improve your mental health. Plus, you'll have a more functional and stress-free living space to enjoy!",39,[ 0.001  0.014  0.03  ... -0.003 -0.004 -0.052],[ 0.003  0.015  0.01  ...  0.001 -0.008 -0.019],[ 0.069  0.321  0.209 ...  0.039 -0.134 -0.365]
